Yoga Around the World,Title,Category,Source,Owner,Status,,,,,,,,
1,Ancient Origins,Eastern Yoga,http://www.medindia.net/yoga-lifestyle/yoga-orgin.htm#.,Emily,needs to be written,,,,,,,,
2,Religious Beliefs,Eastern Yoga,http://health.howstuffworks.com/wellness/diet-fitness/yoga/yoga-and-religion.htm,Emily,needs to be written,,,,,,,,
3,Eastern Traditions,Eastern Yoga,http://creative.sulekha.com/there-is-no-christian-yoga_184977_blog,Emily,needs to be written,,,,,,,,
4,Who practices and why?,Eastern Yoga,http://www.medindia.net/yoga-lifestyle/yoga-orgin.htm#.,Emily,needs to be written,,,,,,,,
5,Eastern styles and variations of practice,Eastern Yoga,http://www.swamij.com/traditional-yoga.htm,Emily,needs to be written,,,,,,,,
6,Famous Eastern Yogis,Eastern Yoga,http://en.wikipedia.org/wiki/Maharishi_Mahesh_Yogi,Emily,needs to be written,,,,,,,,
7,Movement to the West,Western Yoga,http://torontobodymind.ca/blogs/siobhan-mcauley/evolution-yoga-west,Emily,needs to be written,,,,,,,,
8,A shift in purpose,Western Yoga,http://www.yogajournal.com/wisdom/467,Emily,needs to be written,,,,,,,,
9,How the practice has evolved,Western Yoga,http://torontobodymind.ca/blogs/siobhan-mcauley/evolution-yoga-west,Emily,needs to be written,,,,,,,,
10,Western styles of yoga,Western Yoga,http://en.wikipedia.org/wiki/Yoga,Emily,needs to be written,,,,,,,,
11,Where to practice and why,Why yoga?,http://www.yogajournal.com/basics/165,Emily,needs to be written,,,,,,,,
12,Famous Western Yogis,Western Yoga,http://yoga.lovetoknow.com/Famous_Yoga_Teachers,Emily,needs to be written,,,,,,,,
13,Is yoga for everyone?,Why yoga?,http://www.mindbodygreen.com/0-4493/Yoga-Is-for-Everyone-Even-If-Youre-Not-Perfect.html,Emily,needs to be written,,,,,,,,
14,The future of Yoga,Why yoga?,http://www.ianmack.com/what-is-the-future-of-yoga/,Emily,needs to be written,,,,,,,,
15,Summary/Facts/Stats,Why yoga?,http://facts.randomhistory.com/interesting-facts-about-yoga.html,Emily,needs to be written,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,